Place,Name,Address
Pier, Marina South Pier,31 Marina Coastal Drive  S(018988)
Place of worship, Malabar Muslim Jamaath Mosque,471 Victoria Street  S(198370)
Private Office, Lum Chang Building,14  Kung Chong Road  S(159150)
Private Office, Palais Renaissance,390  Orchard Road  Level 4-16  S(238871)
Private Office, Wee Hur Construction Pte Ltd,39 Kim Keat Road  Wee Hur Building  S(328814)
Restaurant,MTR 1924 Indian Restaurant,438 Serangoon Road  S(218133)
Shopping Centre, Dawson Place Shopping Centre,57 Dawson Road  S(142057)
Shopping Centre, Liang Court,177B  River Valley Road  S(179032)
Shopping Centre, New Bridge Centre,336  Smith Street  S(050336)
Shopping Centre, Palais Renaissance,390  Orchard Road  Basement 1-Level 3  S(238871)
Shopping Centre, Palais Renaissance,390  Orchard Road  Basement 2  S(238871)
Shopping Centre, Robertson Walk,11  Unity Street  #02-20A  S(237995)
Shopping Centre, Square 2 Shopping Mall,10 Sinaran Drive  S(307506)
Shopping Centre, The Central,6 Eu Tong Sen Street  S(059817)
Shopping Centre, The Shoppes at Marina Bay Sands,2 Bayfront Avenue  S(018972)
Shopping Centre, The Shoppes at Marina Bay Sands,2 Bayfront Avenue  S(018972)
Shopping Centre, Tiong Bahru Plaza,302 Tiong Bahru Road  S(168732)
Shopping Centre, Valley Point Mall,491 River Valley Road  S(248371)
Tourist Attraction, Custom House,80 Colley Quay  (049326)
Tourist Attraction, Merlion Park@Fullerton ,1 Fullerton Road  S(049178)
Tourist Attraction, One Fullerton,1 Fullerton Square  S(049178)
Tourist Attraction, Sentosa Beach Station ,33 Allanbroke Road  Sentosa  S(099981)
Tourist Attraction, Sentosa Imbiah Lookout,Imbiah Lookout  Sentosa  S(099538)
Tourist Attraction, Sentosa Imbiah Station,Imbiah Express Station  Sentosa  S(099981)
Tourist Attraction, Sentosa Palawan Beach (East),Palawan Beach Walk  S(098521)
Tourist Attraction, Sentosa Palawan Beach (West),Palawan Beach Walk  S(098038)
Tourist Attraction, Sentosa Palawan Kidz City ,31 Beach View  Palawan Kidz City S(098008)
Tourist Attraction, Sentosa Silosa Beach (East),Siloso Beach Walk  S(098997)
Tourist Attraction, Sentosa Wings of Time,Wings of Time  Sentosa  S(099538)
Tourist Attraction, The Fullerton Water Boat House,1 Fullerton Road  S(049213)
